ID,Prompt,Category (Lying/Sitting/Walking/General),Teaching Notes,Favorite (Y/N)
111,Notice the space behind your eyes.,,,
112,Is your tongue pressed to the roof of your mouth?,,,
113,Let your shoulders widen.,,,
114,Are you bracing your legs?,,,
115,Notice your lower back—is it compressed?,,,
116,"Let your head lead, body follow.",,,
117,Are you holding your breath?,,,
118,Notice the width of your upper back.,,,
119,Is your pelvis tucked or tilted?,,,
120,Let your arms hang freely.,,,
121,Are you squinting?,,,
122,Notice the length of your spine.,,,
123,Is your neck shortening?,,,
124,Let your ribs move with your breath.,,,
125,Are you pulling your head back?,,,
126,Notice the softness behind your knees.,,,
127,Is your belly gripping?,,,
128,Let your face soften.,,,
129,Are your toes curled?,,,
130,Notice the relationship between your head and atlas.,,,
131,Is your sternum lifting?,,,
132,Let your sitting bones drop.,,,
133,Are you leaning into one hip?,,,
134,Notice the space between your vertebrae.,,,
135,Is your chin jutting forward?,,,
136,Let your eyes soften and widen.,,,
137,Are you rushing?,,,
138,Notice the weight dropping through your heels.,,,
139,Is your upper chest tight?,,,
140,Let your neck be long.,,,
141,Are your hands tense?,,,
142,Notice the horizon line of your eyes.,,,
143,Is your head tipped to one side?,,,
144,Let your breath come to you.,,,
145,Are you end-gaining right now?,,,
146,Notice the primary control.,,,
147,Is your back narrowing?,,,
148,Let your ankles be free.,,,
149,Are you over-efforting?,,,
150,Notice the ease available to you.,,,
151,Is your head balanced on your spine?,,,
152,Let your lower back soften.,,,
153,Are you bracing your core?,,,
154,Notice the length from crown to tailbone.,,,
155,Is your throat constricted?,,,
156,Let your hips release.,,,
157,Are you pulling down?,,,
158,Notice inhibition—pause before acting.,,,
159,Are your neck muscles tight?,,,
160,Let your weight be supported.,,,
161,Are you lifting your chest unnecessarily?,,,
162,Notice if you're anticipating the next thing.,,,
163,Is your head free to nod?,,,
164,Let your shoulder blades slide down your back.,,,
165,Are you contracting to stay upright?,,,
166,Notice the direction of your gaze.,,,
167,Is your lower jaw hanging free?,,,
168,Let your whole back breathe.,,,
169,Are you gripping the floor with your feet?,,,
170,Notice where effort is unnecessary.,,,
171,Is your sternum compressed?,,,
172,Let your arms lengthen from your back.,,,
173,Are you pulling your shoulders forward?,,,
174,Notice the relationship of your ears to your shoulders.,,,
175,Is your breathing shallow?,,,
176,Let your neck release forward and up.,,,
177,Are you holding tension in your forehead?,,,
178,Notice your head as a weight balanced on your spine.,,,
179,Is your mid-back collapsing?,,,
180,Let your entire spine be involved in movement.,,,
181,Are you fixing your gaze too hard?,,,
182,Notice the ease in your peripheral vision.,,,
183,Is your weight forward on your toes?,,,
184,Let your skull float away from your atlas.,,,
185,Are you bracing for something that isn't happening?,,,
186,Notice the space between your shoulder blades.,,,
187,Is your neck shortening as you think?,,,
188,Let your whole self be taller.,,,
189,Are you compressing downward as you sit?,,,
190,Notice the relationship between your eyes and your neck.,,,
191,Is your upper arm rotating inward?,,,
192,Let your ribs be free to expand sideways.,,,
193,Are you rushing through this moment?,,,
194,Notice the quality of your attention right now.,,,
195,Is your sacrum tucked under?,,,
196,Let your whole back surface widen and lengthen.,,,
197,Pause. Inhibit. Direct. Move.,,,
